CREATE TABLE livros_alugados (
	usuario_id int NOT NULL,
	livro_id int NOT NULL,
insert into livros_alugados (usuario_id, livro_id) values (68, 34);
insert into livros_alugados (usuario_id, livro_id) values (30, 74);
insert into livros_alugados (usuario_id, livro_id) values (13, 47);
insert into livros_alugados (usuario_id, livro_id) values (52, 90);
insert into livros_alugados (usuario_id, livro_id) values (28, 10);
insert into livros_alugados (usuario_id, livro_id) values (62, 22);
insert into livros_alugados (usuario_id, livro_id) values (16, 2);
insert into livros_alugados (usuario_id, livro_id) values (22, 78);
insert into livros_alugados (usuario_id, livro_id) values (34, 49);
insert into livros_alugados (usuario_id, livro_id) values (92, 79);
insert into livros_alugados (usuario_id, livro_id) values (86, 76);
insert into livros_alugados (usuario_id, livro_id) values (69, 96);
insert into livros_alugados (usuario_id, livro_id) values (22, 89);
insert into livros_alugados (usuario_id, livro_id) values (73, 28);
insert into livros_alugados (usuario_id, livro_id) values (90, 28);
insert into livros_alugados (usuario_id, livro_id) values (59, 42);
insert into livros_alugados (usuario_id, livro_id) values (70, 93);
insert into livros_alugados (usuario_id, livro_id) values (38, 19);
insert into livros_alugados (usuario_id, livro_id) values (60, 36);
insert into livros_alugados (usuario_id, livro_id) values (14, 80);
insert into livros_alugados (usuario_id, livro_id) values (19, 48);
insert into livros_alugados (usuario_id, livro_id) values (33, 96);
insert into livros_alugados (usuario_id, livro_id) values (65, 52);
insert into livros_alugados (usuario_id, livro_id) values (79, 52);
insert into livros_alugados (usuario_id, livro_id) values (36, 81);
insert into livros_alugados (usuario_id, livro_id) values (71, 87);
insert into livros_alugados (usuario_id, livro_id) values (99, 14);
insert into livros_alugados (usuario_id, livro_id) values (3, 88);
insert into livros_alugados (usuario_id, livro_id) values (4, 91);
insert into livros_alugados (usuario_id, livro_id) values (58, 58);
insert into livros_alugados (usuario_id, livro_id) values (37, 14);
insert into livros_alugados (usuario_id, livro_id) values (77, 8);
insert into livros_alugados (usuario_id, livro_id) values (43, 55);
insert into livros_alugados (usuario_id, livro_id) values (41, 63);
insert into livros_alugados (usuario_id, livro_id) values (82, 84);
insert into livros_alugados (usuario_id, livro_id) values (19, 59);
insert into livros_alugados (usuario_id, livro_id) values (98, 13);
insert into livros_alugados (usuario_id, livro_id) values (91, 84);
insert into livros_alugados (usuario_id, livro_id) values (67, 27);
insert into livros_alugados (usuario_id, livro_id) values (48, 59);
insert into livros_alugados (usuario_id, livro_id) values (73, 61);
insert into livros_alugados (usuario_id, livro_id) values (71, 43);
insert into livros_alugados (usuario_id, livro_id) values (64, 66);
insert into livros_alugados (usuario_id, livro_id) values (85, 36);
insert into livros_alugados (usuario_id, livro_id) values (3, 5);
insert into livros_alugados (usuario_id, livro_id) values (7, 2);
insert into livros_alugados (usuario_id, livro_id) values (19, 45);
insert into livros_alugados (usuario_id, livro_id) values (18, 7);
insert into livros_alugados (usuario_id, livro_id) values (76, 62);
insert into livros_alugados (usuario_id, livro_id) values (84, 81);
insert into livros_alugados (usuario_id, livro_id) values (80, 17);
insert into livros_alugados (usuario_id, livro_id) values (79, 73);
insert into livros_alugados (usuario_id, livro_id) values (52, 91);
insert into livros_alugados (usuario_id, livro_id) values (8, 32);
insert into livros_alugados (usuario_id, livro_id) values (18, 77);
insert into livros_alugados (usuario_id, livro_id) values (33, 92);
insert into livros_alugados (usuario_id, livro_id) values (76, 53);
insert into livros_alugados (usuario_id, livro_id) values (43, 79);
insert into livros_alugados (usuario_id, livro_id) values (59, 22);
insert into livros_alugados (usuario_id, livro_id) values (30, 96);
insert into livros_alugados (usuario_id, livro_id) values (48, 3);
insert into livros_alugados (usuario_id, livro_id) values (96, 76);
insert into livros_alugados (usuario_id, livro_id) values (27, 10);
insert into livros_alugados (usuario_id, livro_id) values (44, 66);
insert into livros_alugados (usuario_id, livro_id) values (59, 5);
insert into livros_alugados (usuario_id, livro_id) values (75, 37);
insert into livros_alugados (usuario_id, livro_id) values (2, 79);
insert into livros_alugados (usuario_id, livro_id) values (58, 15);
insert into livros_alugados (usuario_id, livro_id) values (57, 62);
insert into livros_alugados (usuario_id, livro_id) values (94, 23);
insert into livros_alugados (usuario_id, livro_id) values (90, 69);
insert into livros_alugados (usuario_id, livro_id) values (19, 68);
insert into livros_alugados (usuario_id, livro_id) values (82, 22);
insert into livros_alugados (usuario_id, livro_id) values (99, 49);
insert into livros_alugados (usuario_id, livro_id) values (37, 11);
insert into livros_alugados (usuario_id, livro_id) values (1, 78);
insert into livros_alugados (usuario_id, livro_id) values (23, 39);
insert into livros_alugados (usuario_id, livro_id) values (62, 44);
insert into livros_alugados (usuario_id, livro_id) values (66, 82);
insert into livros_alugados (usuario_id, livro_id) values (69, 72);
insert into livros_alugados (usuario_id, livro_id) values (88, 22);
insert into livros_alugados (usuario_id, livro_id) values (42, 18);
insert into livros_alugados (usuario_id, livro_id) values (32, 58);
insert into livros_alugados (usuario_id, livro_id) values (84, 80);
insert into livros_alugados (usuario_id, livro_id) values (9, 69);
insert into livros_alugados (usuario_id, livro_id) values (5, 21);
insert into livros_alugados (usuario_id, livro_id) values (78, 43);
insert into livros_alugados (usuario_id, livro_id) values (44, 21);
insert into livros_alugados (usuario_id, livro_id) values (77, 86);
insert into livros_alugados (usuario_id, livro_id) values (90, 67);
insert into livros_alugados (usuario_id, livro_id) values (96, 14);
insert into livros_alugados (usuario_id, livro_id) values (19, 38);
insert into livros_alugados (usuario_id, livro_id) values (14, 22);
insert into livros_alugados (usuario_id, livro_id) values (21, 19);
insert into livros_alugados (usuario_id, livro_id) values (98, 4);
insert into livros_alugados (usuario_id, livro_id) values (75, 24);
insert into livros_alugados (usuario_id, livro_id) values (54, 81);
insert into livros_alugados (usuario_id, livro_id) values (16, 12);
insert into livros_alugados (usuario_id, livro_id) values (57, 70);
insert into livros_alugados (usuario_id, livro_id) values (40, 72);
insert into livros_alugados (usuario_id, livro_id) values (5, 13);
insert into livros_alugados (usuario_id, livro_id) values (7, 60);
insert into livros_alugados (usuario_id, livro_id) values (65, 2);
insert into livros_alugados (usuario_id, livro_id) values (95, 13);
insert into livros_alugados (usuario_id, livro_id) values (19, 31);
insert into livros_alugados (usuario_id, livro_id) values (29, 55);
insert into livros_alugados (usuario_id, livro_id) values (24, 55);
insert into livros_alugados (usuario_id, livro_id) values (1, 72);
insert into livros_alugados (usuario_id, livro_id) values (38, 87);
insert into livros_alugados (usuario_id, livro_id) values (44, 48);
insert into livros_alugados (usuario_id, livro_id) values (26, 90);
insert into livros_alugados (usuario_id, livro_id) values (35, 84);
insert into livros_alugados (usuario_id, livro_id) values (35, 45);
insert into livros_alugados (usuario_id, livro_id) values (64, 82);
insert into livros_alugados (usuario_id, livro_id) values (75, 79);
insert into livros_alugados (usuario_id, livro_id) values (90, 96);
insert into livros_alugados (usuario_id, livro_id) values (15, 38);
insert into livros_alugados (usuario_id, livro_id) values (55, 32);
insert into livros_alugados (usuario_id, livro_id) values (58, 6);
insert into livros_alugados (usuario_id, livro_id) values (79, 27);
insert into livros_alugados (usuario_id, livro_id) values (27, 79);
insert into livros_alugados (usuario_id, livro_id) values (21, 30);
insert into livros_alugados (usuario_id, livro_id) values (65, 38);
insert into livros_alugados (usuario_id, livro_id) values (17, 87);
insert into livros_alugados (usuario_id, livro_id) values (28, 88);
insert into livros_alugados (usuario_id, livro_id) values (15, 62);
insert into livros_alugados (usuario_id, livro_id) values (80, 75);
insert into livros_alugados (usuario_id, livro_id) values (29, 5);
insert into livros_alugados (usuario_id, livro_id) values (6, 31);
insert into livros_alugados (usuario_id, livro_id) values (81, 70);
insert into livros_alugados (usuario_id, livro_id) values (58, 33);
insert into livros_alugados (usuario_id, livro_id) values (13, 15);
insert into livros_alugados (usuario_id, livro_id) values (33, 92);
insert into livros_alugados (usuario_id, livro_id) values (56, 88);
insert into livros_alugados (usuario_id, livro_id) values (11, 65);
insert into livros_alugados (usuario_id, livro_id) values (57, 26);
insert into livros_alugados (usuario_id, livro_id) values (33, 24);
insert into livros_alugados (usuario_id, livro_id) values (47, 73);
insert into livros_alugados (usuario_id, livro_id) values (90, 5);
insert into livros_alugados (usuario_id, livro_id) values (18, 80);
insert into livros_alugados (usuario_id, livro_id) values (98, 12);
insert into livros_alugados (usuario_id, livro_id) values (70, 87);
insert into livros_alugados (usuario_id, livro_id) values (67, 95);
insert into livros_alugados (usuario_id, livro_id) values (47, 70);
insert into livros_alugados (usuario_id, livro_id) values (64, 39);
insert into livros_alugados (usuario_id, livro_id) values (19, 81);
insert into livros_alugados (usuario_id, livro_id) values (34, 77);
insert into livros_alugados (usuario_id, livro_id) values (98, 7);
insert into livros_alugados (usuario_id, livro_id) values (45, 80);
insert into livros_alugados (usuario_id, livro_id) values (38, 36);
insert into livros_alugados (usuario_id, livro_id) values (37, 96);
insert into livros_alugados (usuario_id, livro_id) values (37, 19);
insert into livros_alugados (usuario_id, livro_id) values (92, 20);
insert into livros_alugados (usuario_id, livro_id) values (30, 34);
insert into livros_alugados (usuario_id, livro_id) values (63, 18);
insert into livros_alugados (usuario_id, livro_id) values (2, 68);
insert into livros_alugados (usuario_id, livro_id) values (65, 63);
insert into livros_alugados (usuario_id, livro_id) values (82, 81);
insert into livros_alugados (usuario_id, livro_id) values (99, 12);
insert into livros_alugados (usuario_id, livro_id) values (83, 90);
insert into livros_alugados (usuario_id, livro_id) values (50, 81);
insert into livros_alugados (usuario_id, livro_id) values (35, 39);
insert into livros_alugados (usuario_id, livro_id) values (85, 10);
insert into livros_alugados (usuario_id, livro_id) values (85, 4);
insert into livros_alugados (usuario_id, livro_id) values (37, 32);
insert into livros_alugados (usuario_id, livro_id) values (42, 23);
insert into livros_alugados (usuario_id, livro_id) values (26, 70);
insert into livros_alugados (usuario_id, livro_id) values (22, 5);
insert into livros_alugados (usuario_id, livro_id) values (23, 78);
insert into livros_alugados (usuario_id, livro_id) values (74, 82);
insert into livros_alugados (usuario_id, livro_id) values (92, 85);
insert into livros_alugados (usuario_id, livro_id) values (90, 8);
insert into livros_alugados (usuario_id, livro_id) values (47, 72);
insert into livros_alugados (usuario_id, livro_id) values (23, 15);
insert into livros_alugados (usuario_id, livro_id) values (63, 94);
insert into livros_alugados (usuario_id, livro_id) values (93, 84);
insert into livros_alugados (usuario_id, livro_id) values (88, 72);
insert into livros_alugados (usuario_id, livro_id) values (9, 56);
insert into livros_alugados (usuario_id, livro_id) values (23, 72);
insert into livros_alugados (usuario_id, livro_id) values (75, 53);
insert into livros_alugados (usuario_id, livro_id) values (74, 79);
insert into livros_alugados (usuario_id, livro_id) values (66, 90);
insert into livros_alugados (usuario_id, livro_id) values (17, 52);
insert into livros_alugados (usuario_id, livro_id) values (83, 93);
insert into livros_alugados (usuario_id, livro_id) values (87, 76);
insert into livros_alugados (usuario_id, livro_id) values (82, 79);
insert into livros_alugados (usuario_id, livro_id) values (30, 52);
insert into livros_alugados (usuario_id, livro_id) values (71, 76);
insert into livros_alugados (usuario_id, livro_id) values (40, 2);
insert into livros_alugados (usuario_id, livro_id) values (31, 23);
insert into livros_alugados (usuario_id, livro_id) values (15, 75);
insert into livros_alugados (usuario_id, livro_id) values (17, 56);
insert into livros_alugados (usuario_id, livro_id) values (63, 1);
insert into livros_alugados (usuario_id, livro_id) values (13, 5);
insert into livros_alugados (usuario_id, livro_id) values (100, 37);
insert into livros_alugados (usuario_id, livro_id) values (78, 90);
insert into livros_alugados (usuario_id, livro_id) values (64, 87);
insert into livros_alugados (usuario_id, livro_id) values (74, 37);
insert into livros_alugados (usuario_id, livro_id) values (40, 67);
insert into livros_alugados (usuario_id, livro_id) values (22, 44);
insert into livros_alugados (usuario_id, livro_id) values (63, 39);
insert into livros_alugados (usuario_id, livro_id) values (45, 42);
insert into livros_alugados (usuario_id, livro_id) values (46, 47);
insert into livros_alugados (usuario_id, livro_id) values (43, 37);
insert into livros_alugados (usuario_id, livro_id) values (25, 65);
insert into livros_alugados (usuario_id, livro_id) values (65, 71);
insert into livros_alugados (usuario_id, livro_id) values (72, 22);
insert into livros_alugados (usuario_id, livro_id) values (49, 65);
insert into livros_alugados (usuario_id, livro_id) values (50, 25);
insert into livros_alugados (usuario_id, livro_id) values (23, 45);
insert into livros_alugados (usuario_id, livro_id) values (64, 40);
insert into livros_alugados (usuario_id, livro_id) values (13, 67);
insert into livros_alugados (usuario_id, livro_id) values (100, 37);
insert into livros_alugados (usuario_id, livro_id) values (61, 44);
insert into livros_alugados (usuario_id, livro_id) values (39, 20);
insert into livros_alugados (usuario_id, livro_id) values (52, 65);
insert into livros_alugados (usuario_id, livro_id) values (29, 52);
insert into livros_alugados (usuario_id, livro_id) values (52, 95);
insert into livros_alugados (usuario_id, livro_id) values (39, 88);
insert into livros_alugados (usuario_id, livro_id) values (63, 35);
insert into livros_alugados (usuario_id, livro_id) values (65, 40);
insert into livros_alugados (usuario_id, livro_id) values (72, 17);
insert into livros_alugados (usuario_id, livro_id) values (22, 43);
insert into livros_alugados (usuario_id, livro_id) values (53, 55);
insert into livros_alugados (usuario_id, livro_id) values (61, 59);
insert into livros_alugados (usuario_id, livro_id) values (16, 3);
insert into livros_alugados (usuario_id, livro_id) values (11, 42);
insert into livros_alugados (usuario_id, livro_id) values (35, 18);
insert into livros_alugados (usuario_id, livro_id) values (25, 45);
insert into livros_alugados (usuario_id, livro_id) values (100, 18);
insert into livros_alugados (usuario_id, livro_id) values (58, 82);
insert into livros_alugados (usuario_id, livro_id) values (28, 11);
insert into livros_alugados (usuario_id, livro_id) values (6, 55);
insert into livros_alugados (usuario_id, livro_id) values (96, 94);
insert into livros_alugados (usuario_id, livro_id) values (99, 14);
insert into livros_alugados (usuario_id, livro_id) values (73, 64);
insert into livros_alugados (usuario_id, livro_id) values (45, 30);
insert into livros_alugados (usuario_id, livro_id) values (84, 48);
insert into livros_alugados (usuario_id, livro_id) values (39, 61);
insert into livros_alugados (usuario_id, livro_id) values (25, 53);
insert into livros_alugados (usuario_id, livro_id) values (99, 60);
insert into livros_alugados (usuario_id, livro_id) values (57, 92);
insert into livros_alugados (usuario_id, livro_id) values (36, 48);
insert into livros_alugados (usuario_id, livro_id) values (90, 37);
insert into livros_alugados (usuario_id, livro_id) values (81, 36);
insert into livros_alugados (usuario_id, livro_id) values (35, 69);
insert into livros_alugados (usuario_id, livro_id) values (80, 39);
insert into livros_alugados (usuario_id, livro_id) values (98, 60);
insert into livros_alugados (usuario_id, livro_id) values (31, 2);
insert into livros_alugados (usuario_id, livro_id) values (7, 4);
insert into livros_alugados (usuario_id, livro_id) values (78, 38);
insert into livros_alugados (usuario_id, livro_id) values (65, 73);
insert into livros_alugados (usuario_id, livro_id) values (53, 55);
insert into livros_alugados (usuario_id, livro_id) values (98, 4);
insert into livros_alugados (usuario_id, livro_id) values (24, 42);
insert into livros_alugados (usuario_id, livro_id) values (91, 76);
insert into livros_alugados (usuario_id, livro_id) values (55, 72);
insert into livros_alugados (usuario_id, livro_id) values (47, 72);
insert into livros_alugados (usuario_id, livro_id) values (48, 85);
insert into livros_alugados (usuario_id, livro_id) values (77, 85);
insert into livros_alugados (usuario_id, livro_id) values (44, 95);
insert into livros_alugados (usuario_id, livro_id) values (86, 4);
insert into livros_alugados (usuario_id, livro_id) values (55, 70);
insert into livros_alugados (usuario_id, livro_id) values (38, 95);
insert into livros_alugados (usuario_id, livro_id) values (16, 12);
insert into livros_alugados (usuario_id, livro_id) values (63, 78);
insert into livros_alugados (usuario_id, livro_id) values (33, 11);
insert into livros_alugados (usuario_id, livro_id) values (43, 37);
insert into livros_alugados (usuario_id, livro_id) values (30, 52);
insert into livros_alugados (usuario_id, livro_id) values (66, 46);
insert into livros_alugados (usuario_id, livro_id) values (7, 53);
insert into livros_alugados (usuario_id, livro_id) values (56, 20);
insert into livros_alugados (usuario_id, livro_id) values (8, 96);
insert into livros_alugados (usuario_id, livro_id) values (70, 39);
insert into livros_alugados (usuario_id, livro_id) values (96, 90);
insert into livros_alugados (usuario_id, livro_id) values (64, 24);
insert into livros_alugados (usuario_id, livro_id) values (63, 77);
insert into livros_alugados (usuario_id, livro_id) values (64, 51);
insert into livros_alugados (usuario_id, livro_id) values (86, 42);
insert into livros_alugados (usuario_id, livro_id) values (68, 92);
insert into livros_alugados (usuario_id, livro_id) values (33, 54);
insert into livros_alugados (usuario_id, livro_id) values (27, 18);
insert into livros_alugados (usuario_id, livro_id) values (8, 80);
insert into livros_alugados (usuario_id, livro_id) values (98, 18);
insert into livros_alugados (usuario_id, livro_id) values (79, 44);
insert into livros_alugados (usuario_id, livro_id) values (39, 72);
insert into livros_alugados (usuario_id, livro_id) values (85, 44);
insert into livros_alugados (usuario_id, livro_id) values (32, 89);
insert into livros_alugados (usuario_id, livro_id) values (14, 82);
insert into livros_alugados (usuario_id, livro_id) values (43, 90);
insert into livros_alugados (usuario_id, livro_id) values (30, 12);
insert into livros_alugados (usuario_id, livro_id) values (83, 95);
insert into livros_alugados (usuario_id, livro_id) values (35, 79);
insert into livros_alugados (usuario_id, livro_id) values (28, 56);
insert into livros_alugados (usuario_id, livro_id) values (50, 78);
insert into livros_alugados (usuario_id, livro_id) values (11, 94);
insert into livros_alugados (usuario_id, livro_id) values (30, 90);
insert into livros_alugados (usuario_id, livro_id) values (63, 5);
insert into livros_alugados (usuario_id, livro_id) values (1, 29);
insert into livros_alugados (usuario_id, livro_id) values (5, 84);
insert into livros_alugados (usuario_id, livro_id) values (49, 65);
insert into livros_alugados (usuario_id, livro_id) values (37, 26);
insert into livros_alugados (usuario_id, livro_id) values (60, 80);
insert into livros_alugados (usuario_id, livro_id) values (88, 34);
insert into livros_alugados (usuario_id, livro_id) values (2, 79);
insert into livros_alugados (usuario_id, livro_id) values (23, 25);
insert into livros_alugados (usuario_id, livro_id) values (84, 48);
insert into livros_alugados (usuario_id, livro_id) values (33, 55);
insert into livros_alugados (usuario_id, livro_id) values (76, 21);
insert into livros_alugados (usuario_id, livro_id) values (77, 58);
insert into livros_alugados (usuario_id, livro_id) values (32, 95);
insert into livros_alugados (usuario_id, livro_id) values (81, 77);
insert into livros_alugados (usuario_id, livro_id) values (18, 13);
insert into livros_alugados (usuario_id, livro_id) values (69, 78);
insert into livros_alugados (usuario_id, livro_id) values (1, 85);
insert into livros_alugados (usuario_id, livro_id) values (26, 85);
insert into livros_alugados (usuario_id, livro_id) values (85, 34);
insert into livros_alugados (usuario_id, livro_id) values (63, 67);
insert into livros_alugados (usuario_id, livro_id) values (24, 15);
insert into livros_alugados (usuario_id, livro_id) values (100, 22);
insert into livros_alugados (usuario_id, livro_id) values (59, 76);
insert into livros_alugados (usuario_id, livro_id) values (56, 47);
insert into livros_alugados (usuario_id, livro_id) values (70, 23);
insert into livros_alugados (usuario_id, livro_id) values (42, 43);
insert into livros_alugados (usuario_id, livro_id) values (64, 59);
insert into livros_alugados (usuario_id, livro_id) values (95, 76);
insert into livros_alugados (usuario_id, livro_id) values (14, 27);
insert into livros_alugados (usuario_id, livro_id) values (38, 58);
insert into livros_alugados (usuario_id, livro_id) values (47, 30);
insert into livros_alugados (usuario_id, livro_id) values (42, 81);
insert into livros_alugados (usuario_id, livro_id) values (13, 61);
insert into livros_alugados (usuario_id, livro_id) values (70, 50);
insert into livros_alugados (usuario_id, livro_id) values (24, 93);
insert into livros_alugados (usuario_id, livro_id) values (41, 83);
insert into livros_alugados (usuario_id, livro_id) values (91, 55);
insert into livros_alugados (usuario_id, livro_id) values (56, 50);
insert into livros_alugados (usuario_id, livro_id) values (38, 18);
insert into livros_alugados (usuario_id, livro_id) values (21, 17);
insert into livros_alugados (usuario_id, livro_id) values (34, 38);
insert into livros_alugados (usuario_id, livro_id) values (9, 51);
insert into livros_alugados (usuario_id, livro_id) values (87, 23);
insert into livros_alugados (usuario_id, livro_id) values (19, 6);
insert into livros_alugados (usuario_id, livro_id) values (66, 23);
insert into livros_alugados (usuario_id, livro_id) values (48, 10);
insert into livros_alugados (usuario_id, livro_id) values (32, 5);
insert into livros_alugados (usuario_id, livro_id) values (48, 88);
insert into livros_alugados (usuario_id, livro_id) values (96, 75);
insert into livros_alugados (usuario_id, livro_id) values (93, 32);
insert into livros_alugados (usuario_id, livro_id) values (43, 51);
insert into livros_alugados (usuario_id, livro_id) values (24, 4);
insert into livros_alugados (usuario_id, livro_id) values (26, 67);
insert into livros_alugados (usuario_id, livro_id) values (99, 85);
insert into livros_alugados (usuario_id, livro_id) values (37, 37);
insert into livros_alugados (usuario_id, livro_id) values (6, 95);
insert into livros_alugados (usuario_id, livro_id) values (70, 17);
insert into livros_alugados (usuario_id, livro_id) values (87, 38);
insert into livros_alugados (usuario_id, livro_id) values (92, 64);
insert into livros_alugados (usuario_id, livro_id) values (35, 15);
insert into livros_alugados (usuario_id, livro_id) values (28, 73);
insert into livros_alugados (usuario_id, livro_id) values (47, 35);
insert into livros_alugados (usuario_id, livro_id) values (1, 58);
insert into livros_alugados (usuario_id, livro_id) values (48, 11);
insert into livros_alugados (usuario_id, livro_id) values (76, 73);
insert into livros_alugados (usuario_id, livro_id) values (50, 41);
insert into livros_alugados (usuario_id, livro_id) values (98, 18);
insert into livros_alugados (usuario_id, livro_id) values (89, 7);
insert into livros_alugados (usuario_id, livro_id) values (3, 28);
insert into livros_alugados (usuario_id, livro_id) values (58, 34);
insert into livros_alugados (usuario_id, livro_id) values (38, 34);
insert into livros_alugados (usuario_id, livro_id) values (10, 65);
insert into livros_alugados (usuario_id, livro_id) values (41, 27);
insert into livros_alugados (usuario_id, livro_id) values (73, 5);
insert into livros_alugados (usuario_id, livro_id) values (21, 79);
insert into livros_alugados (usuario_id, livro_id) values (68, 86);
insert into livros_alugados (usuario_id, livro_id) values (29, 60);
insert into livros_alugados (usuario_id, livro_id) values (40, 35);
insert into livros_alugados (usuario_id, livro_id) values (28, 12);
insert into livros_alugados (usuario_id, livro_id) values (39, 79);
insert into livros_alugados (usuario_id, livro_id) values (32, 18);
insert into livros_alugados (usuario_id, livro_id) values (80, 33);
insert into livros_alugados (usuario_id, livro_id) values (14, 36);
insert into livros_alugados (usuario_id, livro_id) values (95, 43);
insert into livros_alugados (usuario_id, livro_id) values (86, 31);
insert into livros_alugados (usuario_id, livro_id) values (56, 90);
insert into livros_alugados (usuario_id, livro_id) values (66, 86);
insert into livros_alugados (usuario_id, livro_id) values (67, 29);
insert into livros_alugados (usuario_id, livro_id) values (39, 90);
insert into livros_alugados (usuario_id, livro_id) values (17, 95);
insert into livros_alugados (usuario_id, livro_id) values (60, 2);
insert into livros_alugados (usuario_id, livro_id) values (77, 32);
insert into livros_alugados (usuario_id, livro_id) values (42, 10);
insert into livros_alugados (usuario_id, livro_id) values (66, 81);
insert into livros_alugados (usuario_id, livro_id) values (31, 42);
insert into livros_alugados (usuario_id, livro_id) values (23, 11);
insert into livros_alugados (usuario_id, livro_id) values (80, 64);
insert into livros_alugados (usuario_id, livro_id) values (100, 57);
insert into livros_alugados (usuario_id, livro_id) values (31, 39);
insert into livros_alugados (usuario_id, livro_id) values (8, 61);
insert into livros_alugados (usuario_id, livro_id) values (19, 66);
insert into livros_alugados (usuario_id, livro_id) values (77, 77);
insert into livros_alugados (usuario_id, livro_id) values (98, 6);
insert into livros_alugados (usuario_id, livro_id) values (1, 87);
insert into livros_alugados (usuario_id, livro_id) values (64, 49);
insert into livros_alugados (usuario_id, livro_id) values (53, 20);
insert into livros_alugados (usuario_id, livro_id) values (37, 57);
insert into livros_alugados (usuario_id, livro_id) values (31, 76);
insert into livros_alugados (usuario_id, livro_id) values (2, 59);
insert into livros_alugados (usuario_id, livro_id) values (80, 67);
insert into livros_alugados (usuario_id, livro_id) values (75, 94);
insert into livros_alugados (usuario_id, livro_id) values (48, 14);
insert into livros_alugados (usuario_id, livro_id) values (27, 2);
insert into livros_alugados (usuario_id, livro_id) values (73, 69);
insert into livros_alugados (usuario_id, livro_id) values (62, 1);
insert into livros_alugados (usuario_id, livro_id) values (91, 43);
insert into livros_alugados (usuario_id, livro_id) values (35, 7);
insert into livros_alugados (usuario_id, livro_id) values (12, 11);
insert into livros_alugados (usuario_id, livro_id) values (75, 66);
insert into livros_alugados (usuario_id, livro_id) values (22, 39);
insert into livros_alugados (usuario_id, livro_id) values (89, 19);
insert into livros_alugados (usuario_id, livro_id) values (14, 47);
insert into livros_alugados (usuario_id, livro_id) values (46, 71);
insert into livros_alugados (usuario_id, livro_id) values (27, 87);
insert into livros_alugados (usuario_id, livro_id) values (22, 19);
insert into livros_alugados (usuario_id, livro_id) values (78, 21);
insert into livros_alugados (usuario_id, livro_id) values (6, 67);
insert into livros_alugados (usuario_id, livro_id) values (43, 5);
insert into livros_alugados (usuario_id, livro_id) values (42, 61);
insert into livros_alugados (usuario_id, livro_id) values (30, 37);
insert into livros_alugados (usuario_id, livro_id) values (63, 67);
insert into livros_alugados (usuario_id, livro_id) values (21, 53);
insert into livros_alugados (usuario_id, livro_id) values (47, 57);
insert into livros_alugados (usuario_id, livro_id) values (82, 5);
insert into livros_alugados (usuario_id, livro_id) values (59, 86);
insert into livros_alugados (usuario_id, livro_id) values (77, 95);
insert into livros_alugados (usuario_id, livro_id) values (56, 51);
insert into livros_alugados (usuario_id, livro_id) values (74, 2);
insert into livros_alugados (usuario_id, livro_id) values (30, 67);
insert into livros_alugados (usuario_id, livro_id) values (17, 44);
insert into livros_alugados (usuario_id, livro_id) values (60, 44);
insert into livros_alugados (usuario_id, livro_id) values (80, 93);
insert into livros_alugados (usuario_id, livro_id) values (26, 25);
insert into livros_alugados (usuario_id, livro_id) values (60, 93);
insert into livros_alugados (usuario_id, livro_id) values (94, 55);
insert into livros_alugados (usuario_id, livro_id) values (48, 89);
insert into livros_alugados (usuario_id, livro_id) values (1, 90);
insert into livros_alugados (usuario_id, livro_id) values (54, 77);
insert into livros_alugados (usuario_id, livro_id) values (44, 75);
insert into livros_alugados (usuario_id, livro_id) values (2, 30);
insert into livros_alugados (usuario_id, livro_id) values (15, 30);
insert into livros_alugados (usuario_id, livro_id) values (14, 9);
insert into livros_alugados (usuario_id, livro_id) values (6, 32);
insert into livros_alugados (usuario_id, livro_id) values (71, 22);
insert into livros_alugados (usuario_id, livro_id) values (67, 13);
insert into livros_alugados (usuario_id, livro_id) values (21, 15);
insert into livros_alugados (usuario_id, livro_id) values (34, 33);
insert into livros_alugados (usuario_id, livro_id) values (12, 50);
insert into livros_alugados (usuario_id, livro_id) values (12, 44);
insert into livros_alugados (usuario_id, livro_id) values (10, 95);
insert into livros_alugados (usuario_id, livro_id) values (17, 68);
insert into livros_alugados (usuario_id, livro_id) values (47, 65);
insert into livros_alugados (usuario_id, livro_id) values (11, 62);
insert into livros_alugados (usuario_id, livro_id) values (7, 53);
insert into livros_alugados (usuario_id, livro_id) values (94, 93);
insert into livros_alugados (usuario_id, livro_id) values (48, 35);
insert into livros_alugados (usuario_id, livro_id) values (50, 89);
insert into livros_alugados (usuario_id, livro_id) values (11, 19);
insert into livros_alugados (usuario_id, livro_id) values (8, 89);
insert into livros_alugados (usuario_id, livro_id) values (99, 28);
insert into livros_alugados (usuario_id, livro_id) values (70, 34);
insert into livros_alugados (usuario_id, livro_id) values (58, 55);
insert into livros_alugados (usuario_id, livro_id) values (9, 34);
insert into livros_alugados (usuario_id, livro_id) values (37, 57);
insert into livros_alugados (usuario_id, livro_id) values (34, 49);
insert into livros_alugados (usuario_id, livro_id) values (3, 30);
insert into livros_alugados (usuario_id, livro_id) values (88, 85);
insert into livros_alugados (usuario_id, livro_id) values (64, 55);
insert into livros_alugados (usuario_id, livro_id) values (85, 81);
insert into livros_alugados (usuario_id, livro_id) values (50, 74);
insert into livros_alugados (usuario_id, livro_id) values (49, 55);
insert into livros_alugados (usuario_id, livro_id) values (26, 88);
insert into livros_alugados (usuario_id, livro_id) values (10, 54);
